Product_Code,Revenue_KES,Qty,No_Customers,Daily_Avg_Qty,SP_Vat_Inc,SP_Less_Vat,BP_Less_Vat
KQ074,"76,729",568,344,2.87,156.7,135.09,116.52
KQ913,"88,960","1,429",263,17.43,62.25,62.25,58.33
KQ1106,"82,350",106,101,3.79,776.89,776.89,715.6
KQ1241,"76,055",32,33,2,"2,376.72","2,376.72","2,123.08"
KQ1100,"73,898","1,040",87,34.67,71.06,71.06,67.08
KQ488,"62,241",20,20,3.33,"3,610.00","3,112.07","2,878.45"
KQ1127,"54,707",14,14,2,"4,532.86","3,907.63","3,815.88"
KQ850,"53,680",541,287,6.44,115.1,99.22,92.05
KQ1068,"58,240",124,106,4.13,469.68,469.68,429.68
KQ1225,"56,017",285,113,17.81,196.55,196.55,190
KQ640,"46,384",253,233,1.69,212.67,183.33,159.94
KQ1243,"49,720",22,24,2.2,"2,260.00","2,260.00","2,189.70"
KQ078,"40,450",210,166,1.3,223.44,192.62,170.65
KQ1272,"39,138",454,82,90.8,100,86.21,79.66
KQ1067,"45,320",184,145,5.11,246.3,246.3,224.67
KQ1271,"35,755",105,94,6.56,395,340.52,308
KQ1361,"33,950",175,50,35,194,194,184.17
KQ710,"20,160",36,35,1.57,560,560,503.5
KQ851,"16,689",198,117,3.47,97.78,84.29,81.5
KQ704,"17,080",122,41,20.33,140,140,147.5
KQ244,"16,924",176,48,13.54,96.16,96.16,58.94
KQ1071,"14,482",80,75,1.95,210,181.03,148.57
KQ1278,"13,940",98,75,6.13,165,142.24,135.17
KQ1270,"10,753",63,32,12.6,198,170.69,156.28
KQ1255,"8,552",4,4,4,"2,480.00","2,137.93","2,452.59"
KQ418,"8,405",5,5,5,"1,950.00","1,681.03","1,447.41"
KQ185,"9,636",50,21,12.5,192.72,192.72,185.83
KQ1250,"8,752",42,17,5.25,208.38,208.38,204.17
KQ1249,"8,220",46,17,4.6,178.7,178.7,204.17
KQ702,"7,500",150,17,37.5,50,50,56.46
KQ1276,"7,092",101,8,33.67,70.22,70.22,94.4
KQ756,"6,448",31,8,31,208,208,191.67
KQ1145,"4,828",7,5,1.75,800,689.66,637.93
KQ716,"4,500",45,31,2.65,116,100,93.41
KQ1213,"4,921",133,1,66.5,37,37,91.77
KQ715,"3,879",36,21,3.6,125,107.76,102.05
KQ703,"2,814",17,11,1.89,192,165.52,155.94
KQ1264,"2,767",1,1,1,"3,210.00","2,767.24","2,536.42"
KQ1251,"2,740",26,14,2.6,105.38,105.38,103.13
KQ714,"2,000",20,11,3.33,116,100,94.69
KQ1135,"1,545",3,3,1.5,515,515,500
KQ1134,825,3,3,1,275,275,250
KQ1224,280,7,1,7,40,40,95.83
KQ705,0,0,1,0,,,
KQ1131,0,0,1,0,,,
